flight_date,flight_status,aircraft,live,departure.airport,departure.timezone,departure.iata,departure.icao,departure.terminal,departure.gate,departure.delay,departure.scheduled,departure.estimated,departure.actual,departure.estimated_runway,departure.actual_runway,arrival.airport,arrival.timezone,arrival.iata,arrival.icao,arrival.terminal,arrival.gate,arrival.baggage,arrival.delay,arrival.scheduled,arrival.estimated,arrival.actual,arrival.estimated_runway,arrival.actual_runway,airline.name,airline.iata,airline.icao,flight.number,flight.iata,flight.icao,flight.codeshared,flight.codeshared.airline_name,flight.codeshared.airline_iata,flight.codeshared.airline_icao,flight.codeshared.flight_number,flight.codeshared.flight_iata,flight.codeshared.flight_icao,aircraft.registration,aircraft.iata,aircraft.icao,aircraft.icao24,live.updated,live.latitude,live.longitude,live.altitude,live.direction,live.speed_horizontal,live.speed_vertical,live.is_ground
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,34.0,2024-03-30T02:30:00+00:00,2024-03-30T02:30:00+00:00,2024-03-30T03:03:00+00:00,2024-03-30T03:03:00+00:00,2024-03-30T03:03:00+00:00,Liege Airport,Europe/Brussels,LGG,EBLG,,,,25.0,2024-03-30T05:23:00+00:00,2024-03-30T05:23:00+00:00,,,,ASL Airlines Ireland,AG,ABR,816,AG816,ABR816,,,,,,,,,,,,,,,,,,,
2024-03-30,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,29.0,2024-03-30T02:30:00+00:00,2024-03-30T02:30:00+00:00,2024-03-30T02:59:00+00:00,2024-03-30T02:59:00+00:00,2024-03-30T02:59:00+00:00,Sabiha Gokcen,Europe/Istanbul,SAW,LTFJ,D,,,2.0,2024-03-30T06:10:00+00:00,2024-03-30T06:10:00+00:00,,,,Pegasus,PC,PGT,229,PC229,PGT229,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-30T07:20:00+00:00,2024-03-30T07:20:00+00:00,,,,Aktyubinsk,Asia/Aqtobe,AKX,UATT,2,,,,2024-03-30T08:20:00+00:00,2024-03-30T08:20:00+00:00,,,,Qazaq Air,IQ,QAZ,399,IQ399,QAZ399,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,20.0,2024-03-30T09:25:00+00:00,2024-03-30T09:25:00+00:00,,,,Istanbul Airport,Europe/Istanbul,IST,LTFM,,,,,2024-03-30T13:25:00+00:00,2024-03-30T13:25:00+00:00,,,,Turkish Airlines,TK,THY,357,TK357,THY357,,,,,,,,,,,,,,,,,,,
2024-03-30,active,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,13.0,2024-03-30T05:45:00+00:00,2024-03-30T05:45:00+00:00,2024-03-30T05:57:00+00:00,2024-03-30T05:57:00+00:00,2024-03-30T05:57:00+00:00,Uralsk / Podstepnyy,Asia/Oral,URA,UARR,,,,,2024-03-30T08:20:00+00:00,2024-03-30T08:20:00+00:00,,,,FlyArystan,,AYN,7365,,AYN7365,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,,2024-03-30T10:30:00+00:00,2024-03-30T10:30:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,I,,,,2024-03-30T11:51:00+00:00,2024-03-30T11:51:00+00:00,,,,Fly Jet KZ,,FJK,1261,,FJK1261,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-30T12:20:00+00:00,2024-03-30T12:20:00+00:00,,,,Petropavlovsk,Asia/Almaty,PPK,UACP,,,,,2024-03-30T13:20:00+00:00,2024-03-30T13:20:00+00:00,,,,Qazaq Air,IQ,QAZ,437,IQ437,QAZ437,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,,,,2024-03-30T11:45:00+00:00,2024-03-30T11:45:00+00:00,,,,Almaty,Asia/Almaty,ALA,UAAA,I,,,,2024-03-30T13:40:00+00:00,2024-03-30T13:40:00+00:00,,,,empty,,,4603,,,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,2,,,2024-03-30T11:00:00+00:00,2024-03-30T11:00:00+00:00,,,,Kzyl-Orda,Asia/Qyzylorda,KZO,UAOO,,,,,2024-03-30T12:50:00+00:00,2024-03-30T12:50:00+00:00,,,,Air Astana,KC,KZR,7315,KC7315,KZR7315,,,,,,,,,,,,,,,,,,,
2024-03-30,scheduled,,,Nursultan Nazarbayev International Airport,,NQZ,UACC,1,,,2024-03-30T08:25:00+00:00,2024-03-30T08:25:00+00:00,,,,Vnukovo,Europe/Moscow,VKO,UUWW,A,,,,2024-03-30T10:00:00+00:00,2024-03-30T10:00:00+00:00,,,,SCAT Airlines,DV,VSV,813,DV813,VSV813,,,,,,,,,,,,,,,,,,,
